"4: Kazalniki bolniškega staleža po spolu in gospodarskih dejavnostih (SKD), Slovenija, letno po spremenljivkah: Leto, Spol, Gospodarske dejavnosti po SKD in Kazalnik",,,,,,,
,,,,,,,
,,Primeri,Koledarski dnevi,Odstotek BS (% BS),Izgubljeni koledarski dnevi na zaposlenega (IO),Število primerov na 100 zaposlenih (IF),Povpreèno trajanje ene odsotnosti (R)
,R93 Športne in druge dejavnosti za prosti èas,1226,26806,2,9,41,22
,S94 Dejavnost èlanskih organizacij,2214,30053,2,8,57,14
,S95 Popravila raèunalnikov in izdelkov za široko rabo,526,15464,3,11,37,29
,S96 Druge storitvene dejavnosti,4226,100285,3,12,52,24
,T97 Dejavnost gospodinjstev z zaposlenim hišnim osebjem,-,-,-,-,-,-
,T98 Raznovrstna proizvodnja gospodinjstev za lastno rabo,-,-,-,-,-,-
,U99 Dejavnost eksteritorialnih organizacij in teles,-,-,-,-,-,-
,00 Ostalo (veèinoma zaposleni v tujini pri tujem delodajalcu),25631,817207,-,-,-,-
2011,"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO",5652,209295,4,13,35,37
,B RUDARSTVO,2259,51093,5,19,82,23
,C PREDELOVALNE DEJAVNOSTI,174950,3232284,5,17,94,19
,"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO",7049,107285,4,14,90,15
,"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA",8150,165680,5,17,85,20
,F GRADBENIŠTVO,34012,856758,4,14,54,25
,"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL",82203,1458620,4,13,75,18
,H PROMET IN SKLADIŠÈENJE,30814,610563,4,13,66,20
,I GOSTINSTVO,18433,460377,4,15,59,25
,J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI,19342,200859,2,9,84,10
,K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI,31849,333210,4,14,133,11
,L POSLOVANJE Z NEPREMIÈNINAMI,2456,55071,4,14,61,22
,"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI",30265,420093,2,8,61,14
,N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI,21176,397555,4,15,80,19
,"O* DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI*",85292,1210853,4,15,103,14
,P IZOBRAŽEVANJE,81272,931887,4,13,116,12
,Q ZDRAVSTVO IN SOCIALNO VARSTVO,65630,1004390,5,18,119,15
,"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI",11120,161493,3,12,79,15
,S DRUGE DEJAVNOSTI,7500,142724,3,11,56,19
,"T DEJAVNOST GOSPODINJSTEV Z ZAPOSLENIM HIŠNIM OSEBJEM, PROIZVODNJA ZA LASTNO RABO",2,2,0,0,0,0
,U DEJAVNOST EKSTERITORIALNIH ORGANIZACIJ IN TELES,-,-,-,-,-,-
,A01 Kmetijska proizvodnja in lov ter z njima povezane storitve,4037,169664,3,12,29,42
,A02 Gozdarstvo,1538,37481,5,18,72,24
,A03 Ribištvo in gojenje vodnih organizmov,77,2150,3,11,38,28
,B05 Pridobivanje premoga,1259,29941,5,19,78,24
,B06 Pridobivanje surove nafte in zemeljskega plina,-,-,-,-,-,-
,B07 Pridobivanje rud,2,33,2,6,33,17
,B08 Pridobivanje rudnin in kamnin,924,20224,5,19,86,22
,B09 Storitve za rudarstvo,74,895,4,13,104,12
,C10 Proizvodnja živil,11346,235492,5,18,88,21
,C11 Proizvodnja pijaè,1734,27841,5,17,106,16
,C12 Proizvodnja tobaènih izdelkov,-,-,-,-,-,-
,C13 Proizvodnja tekstilij,3394,83319,6,22,90,25
,C14 Proizvodnja oblaèil,4225,87691,5,17,82,21
,"C15 Proizvodnja usnja, usnjenih in sorodnih izdelkov",4787,69627,5,18,126,15
,"C16 Obdelava in predelava lesa, proizvodnja izdelkov iz lesa,",8218,169561,5,20,95,21
,C17 Proizvodnja papirja in izdelkov iz papirja,4067,75346,5,18,95,19
,C18 Tiskarstvo in razmnoževanje posnetih nosilcev zapisa,3021,55676,4,13,69,18
,C19 Proizvodnja koksa in naftnih derivatov,18,247,2,8,58,14
,"C20 Proizvodnja kemikalij, kemiènih izdelkov",6300,111384,5,17,97,18
,C21 Proizvodnja farmacevtskih surovin in preparatov,7402,91641,4,16,127,12
,C22 Proizvodnja izdelkov iz gume in plastiènih mas,11036,206008,4,16,83,19
,C23 Proizvodnja nekovinskih mineralnih izdelkov,7512,159721,6,21,98,21
,C24 Proizvodnja kovin,7104,157865,6,22,97,22
,"C25 Proizvodnja kovinskih izdelkov, razen strojev in naprav",22992,471348,4,16,77,21
,"C26 Proizvodnja raèunalnikov, elektronskih in optiènih izdelkov",8028,106116,4,15,116,13
,C27 Proizvodnja elektriènih naprav,22100,379230,6,21,125,17
,C28 Proizvodnja drugih strojev in naprav,13571,235501,5,17,97,17
,"C29 Proizvodnja motornih vozil, prikolic in polprikolic",13908,235654,5,18,106,17
,C30 Proizvodnja drugih vozil in plovil,513,7448,4,15,103,15
,C31 Proizvodnja pohištva,6314,128747,5,18,90,20
,C32 Druge raznovrstne predelovalne dejavnosti,2928,42832,3,12,83,15
,C33 Popravila in montaža strojev in naprav,4432,93989,3,11,52,21
,"D35 Oskrba z elektrièno energijo, plinom in paro",7049,107285,4,14,90,15
,"E36 Zbiranje, preèišèevanje in distribucija vode",3381,65317,5,17,87,19
,E37 Ravnanje z odplakami,241,5694,5,18,76,24
,"E38 Zbiranje in odvoz odpadkov ter ravnanje z njimi, pridobivanj",4441,92424,5,18,85,21
,E39 Saniranje okolja in drugo ravnanje z odpadki,87,2245,3,11,42,26
,F41 Gradnja stavb,9409,241948,4,14,55,26
,F42 Gradnja inženirskih objektov,8959,178986,5,19,96,20
,F43 Specializirana gradbena dela,15644,435824,3,12,42,28
,G45 Trgovina z motornimi vozili in popravila motornih vozil,9067,160396,3,11,62,18
,"G46 Posredništvo in trgovina na debelo, razen z motornimi vozili",28015,432766,3,11,71,15
,"G47 Trgovina na drobno, razen z motornimi vozili",45121,865458,4,16,81,19
,"H49 Kopenski promet, cevovodni transport",12158,321572,3,11,40,26
,H50 Vodni promet,256,3978,4,15,99,16
,H51 Zraèni promet,678,8581,4,14,109,13
,H52 Skladišèenje in spremljajoèe prometne dejavnosti,9649,132311,4,16,116,14
,H53 Poštna in kurirska dejavnost,8073,144121,5,19,108,18
,I55 Gostinske nastanitvene dejavnosti,8503,208239,6,22,91,25
,I56 Dejavnost strežbe jedi in pijaè,9930,252138,3,12,45,25
,J58 Založništvo,3096,39446,3,12,95,13
,"J59 Dejavnosti v zvezi s filmi, video- in zvoènimi zapisi",563,7793,2,7,48,14
,J60 Radijska in televizijska dejavnost,2127,25459,3,10,85,12
,J61 Telekomunikacijske dejavnosti,5332,50780,3,11,113,10
,"J62 Raèunalniško programiranje, svetovanje in druge s tem…",6774,63686,2,7,70,9
,J63 Druge informacijske dejavnosti,1450,13695,3,9,97,9
,"K64 Dejavnosti finanènih storitev, razen zavarovalništva in deja",21045,212227,4,14,142,10
,"K65 Dejavnosti zavarovanja, pozavarovanja in pokojninskih sklado",8285,89505,4,15,134,11
,K66 Pomožne dejavnosti za finanène in zavarovalniške storitve,2519,31478,3,11,85,13
,L68 Poslovanje z nepremièninami,2456,55071,4,14,61,22
,M69 Pravne in raèunovodske dejavnosti,5371,88780,2,9,54,17
,"M70 Dejavnost uprav podjetij, podjetniško in poslovno svetovanje",5784,80639,2,8,57,14
,"M71 Arhitekturno in tehnièno projektiranje, tehnièno preizkušanj",9271,127759,2,9,64,14
,M72 Znanstvena raziskovalna in razvojna dejavnost,5101,49603,2,6,65,10
,M73 Oglaševanje in raziskovanje trga,2619,31626,3,10,87,12
,M74 Druge strokovne in tehniène dejavnosti,1643,30983,2,9,46,19
,M75 Veterinarstvo,476,10703,3,12,54,23
,N77 Dajanje v najem in zakup,386,7788,3,12,61,20
,N78 Zaposlovalne dejavnosti,6700,67867,3,10,103,10
,"N79 Dejavnost potovalnih agencij, organizatorjev potovanj in s p",1133,14879,2,8,61,13
,N80 Varovanje in poizvedovalne dejavnosti,4719,107376,4,15,66,23
,N81 Dejavnost oskrbe stavb in okolice,5906,164426,6,21,74,28
,N82 Pisarniške in spremljajoèe poslovne storitvene dejavnosti,2332,35219,4,14,95,15
,"O84* Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti*",85292,1210853,4,15,103,14
,P85 Izobraževanje,81272,931887,4,13,116,12
,Q86 Zdravstvo,43993,652681,5,17,114,15
,Q87 Socialno varstvo z nastanitvijo,15711,272418,6,22,129,17
,Q88 Socialno varstvo brez nastanitve,5926,79291,5,17,130,13
,R90 Kulturne in razvedrilne dejavnosti,2701,42809,2,8,51,16
,"R91 Dejavnost knjižnic, arhivov, muzejev in druge kulturne dejav.",4183,45756,4,13,122,11
,R92 Prirejanje iger na sreèo,3153,43736,5,18,130,14
,R93 Športne in druge dejavnosti za prosti èas,1083,29192,3,10,37,27
,S94 Dejavnost èlanskih organizacij,2536,32344,2,9,69,13
,S95 Popravila raèunalnikov in izdelkov za široko rabo,580,13557,3,9,38,23
,S96 Druge storitvene dejavnosti,4384,96823,3,12,53,22
,T97 Dejavnost gospodinjstev z zaposlenim hišnim osebjem,-,-,-,-,-,-
,T98 Raznovrstna proizvodnja gospodinjstev za lastno rabo,-,-,-,-,-,-
,U99 Dejavnost eksteritorialnih organizacij in teles,-,-,-,-,-,-
,00 Ostalo (veèinoma zaposleni v tujini pri tujem delodajalcu),15099,528974,-,-,-,-
2012,"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO",5498,212237,4,13,34,39
,B RUDARSTVO,2114,53144,5,20,79,25
,C PREDELOVALNE DEJAVNOSTI,172123,3149324,5,17,95,18
,"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO",7192,107623,4,14,92,15
,"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA",8207,157606,5,17,86,19
,F GRADBENIŠTVO,28546,811254,4,14,50,28
,"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL",80680,1468242,4,14,75,18
,H PROMET IN SKLADIŠÈENJE,30638,628841,4,14,67,21
,I GOSTINSTVO,18358,463236,4,15,59,25
,J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI,19308,198847,2,9,83,10
,K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI,30505,311995,4,14,132,10
,L POSLOVANJE Z NEPREMIÈNINAMI,2510,41012,3,10,62,16
,"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI",31121,440999,2,9,63,14
,N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI,21061,405284,4,16,82,19
,"O* DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI*",90702,1580814,9,31,177,17
,P IZOBRAŽEVANJE,83693,951659,4,14,121,11
,Q ZDRAVSTVO IN SOCIALNO VARSTVO,69836,1008845,5,18,125,14
,"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI",10933,166355,3,12,79,15
,S DRUGE DEJAVNOSTI,7237,155271,3,12,54,22
,"T DEJAVNOST GOSPODINJSTEV Z ZAPOSLENIM HIŠNIM OSEBJEM, PROIZVODNJA ZA LASTNO RABO",-,-,-,-,-,-
,U DEJAVNOST EKSTERITORIALNIH ORGANIZACIJ IN TELES,-,-,-,-,-,-
,A01 Kmetijska proizvodnja in lov ter z njima povezane storitve,3966,177322,4,13,28,45
,A02 Gozdarstvo,1448,33890,5,16,70,23
,A03 Ribištvo in gojenje vodnih organizmov,84,1025,1,5,43,12
,B05 Pridobivanje premoga,1266,36437,6,22,78,29
,B06 Pridobivanje surove nafte in zemeljskega plina,-,-,-,-,-,-
,B07 Pridobivanje rud,3,22,2,6,75,7
,B08 Pridobivanje rudnin in kamnin,792,15465,4,16,80,20
,B09 Storitve za rudarstvo,53,1220,5,19,80,23
,C10 Proizvodnja živil,11269,237878,5,19,88,21
,C11 Proizvodnja pijaè,1742,28222,5,17,105,16
,C12 Proizvodnja tobaènih izdelkov,-,-,-,-,-,-
,C13 Proizvodnja tekstilij,3064,83155,6,23,83,27
,C14 Proizvodnja oblaèil,4172,77274,5,17,92,19
,"C15 Proizvodnja usnja, usnjenih in sorodnih izdelkov",4752,65177,5,20,144,14
,"C16 Obdelava in predelava lesa, proizvodnja izdelkov iz lesa,",7312,162131,6,20,91,22
,C17 Proizvodnja papirja in izdelkov iz papirja,3999,75830,5,19,101,19
,C18 Tiskarstvo in razmnoževanje posnetih nosilcev zapisa,2742,50060,3,12,67,18
,C19 Proizvodnja koksa in naftnih derivatov,25,943,9,33,86,38
,"C20 Proizvodnja kemikalij, kemiènih izdelkov",6078,110125,5,17,96,18
,C21 Proizvodnja farmacevtskih surovin in preparatov,7166,86505,4,14,116,12
,C22 Proizvodnja izdelkov iz gume in plastiènih mas,10673,190120,4,15,83,18
,C23 Proizvodnja nekovinskih mineralnih izdelkov,7260,148611,6,20,99,21
,C24 Proizvodnja kovin,6917,144384,5,19,91,21
,"C25 Proizvodnja kovinskih izdelkov, razen strojev in naprav",22767,441256,4,15,78,19
,"C26 Proizvodnja raèunalnikov, elektronskih in optiènih izdelkov",8715,116103,5,17,126,13
,C27 Proizvodnja elektriènih naprav,21630,410672,7,24,125,19
,C28 Proizvodnja drugih strojev in naprav,13539,220701,5,16,100,16
,"C29 Proizvodnja motornih vozil, prikolic in polprikolic",13812,228711,5,18,108,17
,C30 Proizvodnja drugih vozil in plovil,513,5400,3,10,90,11
,C31 Proizvodnja pohištva,5047,100861,5,17,84,20
,C32 Druge raznovrstne predelovalne dejavnosti,3208,50284,4,15,98,16
,C33 Popravila in montaža strojev in naprav,5721,114921,4,13,66,20
,"D35 Oskrba z elektrièno energijo, plinom in paro",7192,107623,4,14,92,15
,"E36 Zbiranje, preèišèevanje in distribucija vode",3321,55040,4,15,87,17
,E37 Ravnanje z odplakami,260,6688,6,21,80,26
,"E38 Zbiranje in odvoz odpadkov ter ravnanje z njimi, pridobivanj",4482,93568,5,18,87,21
,E39 Saniranje okolja in drugo ravnanje z odpadki,144,2310,2,9,54,16
,F41 Gradnja stavb,7877,234156,5,17,57,30
,F42 Gradnja inženirskih objektov,6044,133710,5,17,78,22
,F43 Specializirana gradbena dela,14625,443388,3,13,41,30
,G45 Trgovina z motornimi vozili in popravila motornih vozil,8553,153044,3,11,61,18
,"G46 Posredništvo in trgovina na debelo, razen z motornimi vozili",26702,429612,3,11,69,16
,"G47 Trgovina na drobno, razen z motornimi vozili",45425,885586,4,16,83,20
,"H49 Kopenski promet, cevovodni transport",13411,358496,3,12,46,27
,H50 Vodni promet,218,3006,4,13,96,14
,H51 Zraèni promet,644,6515,3,12,114,10
,H52 Skladišèenje in spremljajoèe prometne dejavnosti,8296,115523,4,14,98,14
,H53 Poštna in kurirska dejavnost,8069,145301,6,20,111,18
,I55 Gostinske nastanitvene dejavnosti,8422,196928,5,20,85,23
,I56 Dejavnost strežbe jedi in pijaè,9936,266308,3,12,46,27
,J58 Založništvo,2947,32073,3,10,96,11
,"J59 Dejavnosti v zvezi s filmi, video- in zvoènimi zapisi",610,10117,2,9,51,17
,J60 Radijska in televizijska dejavnost,2199,25247,3,10,84,12
,J61 Telekomunikacijske dejavnosti,5296,54645,3,11,111,10
,"J62 Raèunalniško programiranje, svetovanje in druge s tem…",6901,62930,2,6,69,9
,J63 Druge informacijske dejavnosti,1355,13835,2,9,86,10
,"K64 Dejavnosti finanènih storitev, razen zavarovalništva in deja",20348,193505,4,14,144,10
,"K65 Dejavnosti zavarovanja, pozavarovanja in pokojninskih sklado",7878,83312,4,13,127,11
,K66 Pomožne dejavnosti za finanène in zavarovalniške storitve,2279,35178,3,12,80,15
,L68 Poslovanje z nepremièninami,2510,41012,3,10,62,16
,M69 Pravne in raèunovodske dejavnosti,5615,92102,3,9,55,16
,"M70 Dejavnost uprav podjetij, podjetniško in poslovno svetovanje",6040,89847,2,9,58,15
,"M71 Arhitekturno in tehnièno projektiranje, tehnièno preizkušanj",8709,126524,3,9,65,15
,M72 Znanstvena raziskovalna in razvojna dejavnost,6297,63052,2,8,79,10
,M73 Oglaševanje in raziskovanje trga,2317,30788,3,11,79,13
,M74 Druge strokovne in tehniène dejavnosti,1737,31326,2,8,46,18
,M75 Veterinarstvo,406,7360,2,9,47,18
,N77 Dajanje v najem in zakup,350,4142,2,7,59,12
,N78 Zaposlovalne dejavnosti,6490,67831,3,11,106,11
,"N79 Dejavnost potovalnih agencij, organizatorjev potovanj in s p",1219,21129,3,11,65,17
,N80 Varovanje in poizvedovalne dejavnosti,4798,117752,5,17,69,25
,N81 Dejavnost oskrbe stavb in okolice,5797,154515,5,19,73,27
,N82 Pisarniške in spremljajoèe poslovne storitvene dejavnosti,2407,39915,5,18,111,17
,"O84* Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti*",90702,1580814,9,31,177,17
,P85 Izobraževanje,83693,951659,4,14,121,11
,Q86 Zdravstvo,45928,642826,5,17,119,14
,Q87 Socialno varstvo z nastanitvijo,16478,280140,6,23,133,17
,Q88 Socialno varstvo brez nastanitve,7430,85879,5,18,155,12
,R90 Kulturne in razvedrilne dejavnosti,2711,48339,3,9,52,18
,"R91 Dejavnost knjižnic, arhivov, muzejev in druge kulturne dejav.",4039,45879,4,13,118,11
,R92 Prirejanje iger na sreèo,3019,37701,5,17,133,13
,R93 Športne in druge dejavnosti za prosti èas,1164,34436,3,12,40,30
,S94 Dejavnost èlanskih organizacij,2445,34553,3,9,65,14
,S95 Popravila raèunalnikov in izdelkov za široko rabo,647,13663,3,10,45,21
,S96 Druge storitvene dejavnosti,4145,107055,4,13,50,26
,T97 Dejavnost gospodinjstev z zaposlenim hišnim osebjem,-,-,-,-,-,-
,T98 Raznovrstna proizvodnja gospodinjstev za lastno rabo,-,-,-,-,-,-
,U99 Dejavnost eksteritorialnih organizacij in teles,-,-,-,-,-,-
,00 Ostalo (veèinoma zaposleni v tujini pri tujem delodajalcu),3151,41698,-,-,-,-
2013,"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO",5654,220463,4,14,35,39
,B RUDARSTVO,2128,64402,7,24,81,30
,C PREDELOVALNE DEJAVNOSTI,175588,3027988,5,17,98,17
,"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO",8129,105705,4,13,103,13
,"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA",8675,155671,4,16,89,18
,F GRADBENIŠTVO,25932,701898,3,13,46,27
,"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL",82218,1424648,4,14,79,17
,H PROMET IN SKLADIŠÈENJE,32838,635832,4,14,71,19
,I GOSTINSTVO,18566,454328,4,15,61,25
,J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI,21101,212538,3,9,90,10
,K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI,31947,309780,4,14,140,10
,L POSLOVANJE Z NEPREMIÈNINAMI,2686,53983,4,13,67,20
,"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI",34147,454928,2,9,67,13
,N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI,21134,413823,4,16,81,20
,"O* DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI*",92039,1248895,7,25,183,14
,P IZOBRAŽEVANJE,92870,964084,4,14,133,10
,Q ZDRAVSTVO IN SOCIALNO VARSTVO,76799,1062738,5,19,137,14
,"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI",11411,167457,3,12,82,15
,S DRUGE DEJAVNOSTI,7914,154938,3,12,59,20
,"T DEJAVNOST GOSPODINJSTEV Z ZAPOSLENIM HIŠNIM OSEBJEM, PROIZVODNJA ZA LASTNO RABO",-,-,-,-,-,-
,U DEJAVNOST EKSTERITORIALNIH ORGANIZACIJ IN TELES,-,-,-,-,-,-
,A01 Kmetijska proizvodnja in lov ter z njima povezane storitve,3906,178937,4,13,28,46
,A02 Gozdarstvo,1652,38894,5,18,78,24
,A03 Ribištvo in gojenje vodnih organizmov,96,2632,4,14,51,27
,B05 Pridobivanje premoga,1277,44252,8,28,80,35
,B06 Pridobivanje surove nafte in zemeljskega plina,-,-,-,-,-,-
,B07 Pridobivanje rud,6,37,3,9,150,6
,B08 Pridobivanje rudnin in kamnin,802,19450,6,20,83,24
,B09 Storitve za rudarstvo,43,663,2,8,52,15
,C10 Proizvodnja živil,11271,237725,5,19,90,21
,C11 Proizvodnja pijaè,1737,29749,5,18,106,17
,C12 Proizvodnja tobaènih izdelkov,-,-,-,-,-,-
,C13 Proizvodnja tekstilij,2945,61719,5,19,92,21
,C14 Proizvodnja oblaèil,4124,77779,5,19,103,19
,"C15 Proizvodnja usnja, usnjenih in sorodnih izdelkov",4932,64285,5,19,147,13
,"C16 Obdelava in predelava lesa, proizvodnja izdelkov iz lesa,",6918,135709,5,17,87,20
,C17 Proizvodnja papirja in izdelkov iz papirja,3998,71076,5,17,95,18
,C18 Tiskarstvo in razmnoževanje posnetih nosilcev zapisa,2673,52634,4,13,66,20
,C19 Proizvodnja koksa in naftnih derivatov,19,639,7,27,79,34
,"C20 Proizvodnja kemikalij, kemiènih izdelkov",6266,102155,5,16,100,16
,C21 Proizvodnja farmacevtskih surovin in preparatov,8596,104460,5,16,134,12
,C22 Proizvodnja izdelkov iz gume in plastiènih mas,11577,223883,5,17,89,19
,C23 Proizvodnja nekovinskih mineralnih izdelkov,7159,154512,6,22,101,22
,C24 Proizvodnja kovin,7774,136322,5,18,102,18
,"C25 Proizvodnja kovinskih izdelkov, razen strojev in naprav",22149,395710,4,14,77,18
,"C26 Proizvodnja raèunalnikov, elektronskih in optiènih izdelkov",10129,110187,4,16,145,11
,C27 Proizvodnja elektriènih naprav,21368,357632,6,21,126,17
,C28 Proizvodnja drugih strojev in naprav,13052,211134,4,16,99,16
,"C29 Proizvodnja motornih vozil, prikolic in polprikolic",14333,233895,5,18,108,16
,C30 Proizvodnja drugih vozil in plovil,712,8529,4,15,124,12
,C31 Proizvodnja pohištva,4597,84804,4,15,84,18
,C32 Druge raznovrstne predelovalne dejavnosti,3225,48588,4,15,98,15
,C33 Popravila in montaža strojev in naprav,6034,124862,4,14,66,21
,"D35 Oskrba z elektrièno energijo, plinom in paro",8129,105705,4,13,103,13
,"E36 Zbiranje, preèišèevanje in distribucija vode",3559,56135,4,14,91,16
,E37 Ravnanje z odplakami,261,5290,4,16,77,20
,"E38 Zbiranje in odvoz odpadkov ter ravnanje z njimi, pridobivanj",4629,89898,5,18,91,19
,E39 Saniranje okolja in drugo ravnanje z odpadki,226,4348,3,10,50,19
,F41 Gradnja stavb,6252,188265,4,15,48,30
,F42 Gradnja inženirskih objektov,5487,112010,4,15,72,20
,F43 Specializirana gradbena dela,14193,401623,3,11,40,28
,G45 Trgovina z motornimi vozili in popravila motornih vozil,8262,147171,3,11,60,18
,"G46 Posredništvo in trgovina na debelo, razen z motornimi vozili",26973,404566,3,11,72,15
,"G47 Trgovina na drobno, razen z motornimi vozili",46983,872911,5,17,89,19
,"H49 Kopenski promet, cevovodni transport",13474,343932,3,12,46,26
,H50 Vodni promet,220,1660,2,8,105,8
,H51 Zraèni promet,748,6817,4,13,140,9
,H52 Skladišèenje in spremljajoèe prometne dejavnosti,9018,137387,4,15,95,15
,H53 Poštna in kurirska dejavnost,9378,146036,6,21,135,16
,I55 Gostinske nastanitvene dejavnosti,8779,184500,5,20,93,21
,I56 Dejavnost strežbe jedi in pijaè,9787,269828,4,13,46,28
,J58 Založništvo,2883,33240,3,12,100,12
,"J59 Dejavnosti v zvezi s filmi, video- in zvoènimi zapisi",627,8386,2,6,48,13
,J60 Radijska in televizijska dejavnost,2428,25174,3,10,98,10
,J61 Telekomunikacijske dejavnosti,6274,58915,3,12,126,9
,"J62 Raèunalniško programiranje, svetovanje in druge s tem…",7414,71928,2,7,73,10
,J63 Druge informacijske dejavnosti,1475,14895,2,9,86,10
,"K64 Dejavnosti finanènih storitev, razen zavarovalništva in deja",21198,192847,4,14,154,9
,"K65 Dejavnosti zavarovanja, pozavarovanja in pokojninskih sklado",8495,86266,4,14,138,10
,K66 Pomožne dejavnosti za finanène in zavarovalniške storitve,2254,30667,3,11,79,14
,L68 Poslovanje z nepremièninami,2686,53983,4,13,67,20
,M69 Pravne in raèunovodske dejavnosti,6001,94098,3,9,58,16
,"M70 Dejavnost uprav podjetij, podjetniško in poslovno svetovanje",7214,97793,2,8,61,14
,"M71 Arhitekturno in tehnièno projektiranje, tehnièno preizkušanj",8714,121660,3,9,65,14
,M72 Znanstvena raziskovalna in razvojna dejavnost,7594,67531,2,9,96,9
,M73 Oglaševanje in raziskovanje trga,2380,33005,3,11,80,14
,M74 Druge strokovne in tehniène dejavnosti,1808,33859,2,9,45,19
,M75 Veterinarstvo,436,6982,2,8,50,16
,N77 Dajanje v najem in zakup,382,7679,3,13,62,20
,N78 Zaposlovalne dejavnosti,6818,66473,3,10,102,10
,"N79 Dejavnost potovalnih agencij, organizatorjev potovanj in s p",1198,16334,3,9,66,14
,N80 Varovanje in poizvedovalne dejavnosti,4956,113395,5,17,72,23
,N81 Dejavnost oskrbe stavb in okolice,6079,173278,6,22,76,29
,N82 Pisarniške in spremljajoèe poslovne storitvene dejavnosti,1701,36664,5,17,78,22
,"O84* Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti*",92039,1248895,7,25,183,14
,P85 Izobraževanje,92870,964084,4,14,133,10
,Q86 Zdravstvo,51327,678235,5,18,133,13
,Q87 Socialno varstvo z nastanitvijo,17460,292873,6,24,140,17
,Q88 Socialno varstvo brez nastanitve,8012,91630,5,19,163,11
,R90 Kulturne in razvedrilne dejavnosti,2925,59822,3,11,55,21
,"R91 Dejavnost knjižnic, arhivov, muzejev in druge kulturne dejav.",4528,50088,4,15,132,11
,R92 Prirejanje iger na sreèo,2699,33550,4,16,124,12
,R93 Športne in druge dejavnosti za prosti èas,1259,23997,2,8,43,19
,S94 Dejavnost èlanskih organizacij,2878,35315,3,9,75,12
,S95 Popravila raèunalnikov in izdelkov za široko rabo,599,12361,2,9,42,21
,S96 Druge storitvene dejavnosti,4437,107262,4,13,54,24
,T97 Dejavnost gospodinjstev z zaposlenim hišnim osebjem,-,-,-,-,-,-
,T98 Raznovrstna proizvodnja gospodinjstev za lastno rabo,-,-,-,-,-,-
,U99 Dejavnost eksteritorialnih organizacij in teles,-,-,-,-,-,-
,00 Ostalo (veèinoma zaposleni v tujini pri tujem delodajalcu),3699,46279,-,-,-,-
2014,"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO",5373,212963,4,13,32,40
,B RUDARSTVO,2012,53134,6,21,80,26
,C PREDELOVALNE DEJAVNOSTI,165707,2799379,4,16,92,17
,"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO",7811,109903,4,14,98,14
,"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA",8500,152427,4,16,90,18
,F GRADBENIŠTVO,23851,641631,3,12,43,27
,"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL",79177,1318919,3,13,75,17
,H PROMET IN SKLADIŠÈENJE,31758,609836,4,13,67,19
