"6: Kazalniki bolniškega staleža po statistiènih regijah in spolu, Slovenija, letno po spremenljivkah: Leto, Spol, Statistièna regija in Kazalnik",,,,,,,,
,,,,,,,,
,,,Primeri,Koledarski dnevi,Odstotek BS (% BS),Izgubljeni koledarski dnevi na zaposlenega (IO),Število primerov na 100 zaposlenih (IF),Povpreèno trajanje ene odsotnosti (R)
,,Gorenjska,60948,736263,3,11,90,12
,,Primorsko-notranjska,18019,231026,4,15,117,13
,,Goriška,50156,563047,4,13,115,11
,,Obalno kraška,45877,595775,4,14,108,13
,,Neznano,-,-,-,-,-,-
2015,Spol - SKUPAJ,Pomurska,26301,561253,4,15,70,21
,,Podravska,124179,1908687,4,16,103,15
,,Koroška,19012,485031,5,20,78,26
,,Savinjska,94102,1655012,5,17,97,18
,,Zasavska,11883,249540,5,17,79,21
,,Posavska,27537,414211,5,20,132,15
,,Jugovzhodna,45263,745668,4,15,90,17
,,Osrednjeslovenska,311631,3624838,4,13,111,12
,,Gorenjska,69160,823338,3,12,99,12
,,Primorsko-notranjska,21925,237417,4,15,138,11
,,Goriška,57536,595222,4,13,129,10
,,Obalno kraška,51086,609710,4,13,113,12
,,Neznano,-,-,-,-,-,-
2016,Spol - SKUPAJ,Pomurska,27779,612768,4,16,72,22
,,Podravska,129542,1953102,4,16,105,15
,,Koroška,18606,496067,5,20,74,27
,,Savinjska,93588,1687748,5,17,93,18
,,Zasavska,10689,281356,5,19,71,26
,,Posavska,29672,407069,5,19,137,14
,,Jugovzhodna,52699,808389,4,15,101,15
,,Osrednjeslovenska,287001,3650192,3,13,99,13
,,Gorenjska,70446,904010,3,13,98,13
,,Primorsko-notranjska,18003,237921,4,15,111,13
,,Goriška,55887,639482,4,14,121,11
,,Obalno kraška,45621,601094,4,13,98,13
,,Neznano,-,-,-,-,-,-
2017,Spol - SKUPAJ,Pomurska,29590,643543,5,18,83,22
,,Podravska,110796,1796094,4,15,90,16
,,Koroška,19933,559065,6,23,81,28
,,Savinjska,89450,1776880,5,17,86,20
,,Zasavska,13128,288809,5,19,86,22
,,Posavska,26865,425005,5,19,120,16
,,Jugovzhodna,53056,879814,4,16,96,17
,,Osrednjeslovenska,351880,4174066,4,14,116,12
,,Gorenjska,78602,1092618,4,15,105,14
,,Primorsko-notranjska,23898,287042,5,18,147,12
,,Goriška,63006,681826,4,15,134,11
,,Obalno kraška,60608,718207,4,15,128,12
,,Neznano,-,-,-,-,-,-
2018,Spol - SKUPAJ,Pomurska,31460,705920,5,19,86,22
,,Podravska,148504,2325762,5,18,116,16
,,Koroška,22253,602986,7,24,88,27
,,Savinjska,112826,2014065,5,19,105,18
,,Zasavska,12201,304372,5,20,78,25
,,Posavska,37149,523580,6,23,160,14
,,Jugovzhodna,64156,961308,5,17,112,15
,,Osrednjeslovenska,333802,4343768,4,14,106,13
,,Gorenjska,83550,1221879,4,16,107,15
,,Primorsko-notranjska,22400,291384,5,18,135,13
,,Goriška,59792,722338,4,16,128,12
,,Obalno kraška,61934,763568,4,16,128,12
,,Neznano,-,-,-,-,-,-
2019,Spol - SKUPAJ,Pomurska,39546,799777,6,21,106,20
,,Podravska,156943,2511416,5,19,120,16
,,Koroška,24851,637077,7,25,98,26
,,Savinjska,123103,2246031,6,21,113,18
,,Zasavska,13119,294075,5,19,83,22
,,Posavska,40129,555127,7,24,170,14
,,Jugovzhodna,67358,1051570,5,18,116,16
,,Osrednjeslovenska,362104,4846274,4,15,112,13
,,Gorenjska,90528,1340533,5,17,114,15
,,Primorsko-notranjska,24114,334092,6,20,144,14
,,Goriška,64268,795385,5,17,134,12
,,Obalno kraška,66331,830973,5,17,135,13
,,Neznano,-,-,-,-,-,-
,,,,,,,,
"Opomba:
Sprememba uredbe NUTS – s 01.01.2015 uvedene teritorialne spremembe statistiènih regij:
- Sprememba imen (notranjsko-kraška v primorsko-notranjsko, spodnjeposavska v posavsko)
- Sprememba mej (obèini Radeèe in Bistrica ob Sotli preideta iz savinjske v posavsko st.reg., obèina Litija preide iz osrednjeslovenske v zasavsko st. reg.)",,,,,,,,
"Povezane vsebine:
- <A class=seznam HREF=/docs/3_3f_BS_2016.pdf target=_blank>Metodološka pojasnila</A>
",,,,,,,,
,,,,,,,,
Zadnja posodobitev:,,,,,,,,
20200930 09:00,,,,,,,,
,,,,,,,,
Vir podatkov:,,,,,,,,
NIJZ,,,,,,,,
,,,,,,,,
Kontakt:,,,,,,,,
"Blaženka Jeren, NIJZ",,,,,,,,
+386 (01) 2441 501,,,,,,,,
<a href='mailto:blazenka.jeren@nijz.si'>blazenka.jeren@nijz.si</a>,,,,,,,,
,,,,,,,,
Avtorske pravice,,,,,,,,
,,,,,,,,
Enote:,,,,,,,,
Primeri,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Zbirka podatkov:,,,,,,,,
"NIJZ 3 - Evidenca zaèasne odsotnosti z dela zaradi bolezni, poškodb in drugih vzrokov (BS)",,,,,,,,
,,,,,,,,
Kratko ime:,,,,,,,,
10700006,,,,,,,,
