"7: Kazalniki bolniškega staleža po spolu in starosti, Slovenija, letno po spremenljivkah: Leto, Spol, Starost in Kazalnik",,,,,,,
,,,,,,,
,,Primeri,Koledarski dnevi,Odstotek BS (% BS),Izgubljeni koledarski dnevi na zaposlenega (IO),Število primerov na 100 zaposlenih (IF),Povpreèno trajanje ene odsotnosti (R)
,20 do 24 let,25622,337126,3,10,73,13
,25 do 29 let,87739,1153980,3,11,87,13
,30 do 34 let,146300,1737962,4,13,110,12
,35 do 39 let,136046,1648477,4,13,104,12
,40 do 44 let,105768,1694310,4,13,82,16
,45 do 49 let,92016,2034998,4,15,70,22
,50 do 54 let,80619,2283566,5,20,69,28
,55 do 59 let,46707,1608122,7,25,71,34
,60 do 64 let,6877,288661,7,26,62,42
,65 do 69 let,359,9557,3,9,35,27
,70 in veè let,59,1970,2,7,21,33
,Neznano,21,97,-,-,-,-
2011,15 do 19 let,768,6953,1,4,47,9
,20 do 24 let,24700,313240,3,10,78,13
,25 do 29 let,84387,1101166,3,12,89,13
,30 do 34 let,148802,1717380,4,13,114,12
,35 do 39 let,143989,1648753,3,13,110,12
,40 do 44 let,107970,1608787,4,13,85,15
,45 do 49 let,93081,2002842,4,15,70,22
,50 do 54 let,80191,2278639,5,20,69,28
,55 do 59 let,44328,1583254,6,23,63,36
,60 do 64 let,5901,263863,6,22,48,45
,65 do 69 let,330,10502,2,9,27,32
,70 in veè let,76,3685,3,12,25,49
,Neznano,-,-,-,-,-,-
2012,15 do 19 let,610,5776,1,4,42,10
,20 do 24 let,20551,267425,3,10,75,13
,25 do 29 let,77300,986527,3,11,88,13
,30 do 34 let,145142,1644928,4,13,117,11
,35 do 39 let,146190,1657646,4,13,114,11
,40 do 44 let,107472,1570388,4,13,88,15
,45 do 49 let,91935,1973102,4,15,72,22
,50 do 54 let,80107,2272775,6,21,72,28
,55 do 59 let,47267,1680149,8,29,80,36
,60 do 64 let,6356,279952,8,28,63,44
,65 do 69 let,412,12790,3,11,35,31
,70 in veè let,70,2825,3,12,29,40
,Neznano,1,3,-,-,-,-
2013,15 do 19 let,478,4970,1,4,37,10
,20 do 24 let,17453,209718,2,9,73,12
,25 do 29 let,76245,914519,3,11,92,12
,30 do 34 let,148208,1572530,4,13,124,11
,35 do 39 let,159447,1655391,4,13,124,10
,40 do 44 let,116936,1592609,4,13,96,14
,45 do 49 let,95352,1868794,4,15,76,20
,50 do 54 let,84135,2229530,5,20,74,27
,55 do 59 let,49872,1537062,6,23,76,31
,60 do 64 let,6827,271185,6,23,59,40
,65 do 69 let,478,21886,4,16,34,46
,70 in veè let,44,2184,3,9,18,50
,Neznano,-,-,-,-,-,-
2014,15 do 19 let,586,5685,1,3,35,10
,20 do 24 let,16230,191080,2,8,66,12
,25 do 29 let,70437,839608,3,10,86,12
,30 do 34 let,141598,1455998,3,12,121,10
,35 do 39 let,160522,1558560,3,12,124,10
,40 do 44 let,117116,1432714,3,12,95,12
,45 do 49 let,91718,1689113,4,14,73,18
,50 do 54 let,80061,1979288,5,17,69,25
,55 do 59 let,52595,1599638,6,22,72,30
,60 do 64 let,8280,297833,6,21,59,36
,65 do 69 let,521,15333,3,10,34,29
,70 in veè let,44,4324,5,18,18,98
,Neznano,-,-,-,-,-,-
2015,15 do 19 let,824,7558,1,4,43,9
,20 do 24 let,18840,212209,2,8,71,11
,25 do 29 let,77016,873810,3,11,94,11
,30 do 34 let,156053,1497891,4,13,136,10
,35 do 39 let,186861,1702416,4,13,143,9
,40 do 44 let,142842,1548059,3,12,113,11
,45 do 49 let,105003,1740097,4,14,85,17
,50 do 54 let,93736,2100824,5,18,78,22
,55 do 59 let,65504,1805364,6,23,84,28
,60 do 64 let,12061,395535,6,24,72,33
,65 do 69 let,811,23989,4,13,44,30
,70 in veè let,62,2110,2,8,23,34
,Neznano,2,65,-,-,-,-
2016,15 do 19 let,1051,9306,1,4,46,9
,20 do 24 let,21904,241182,2,8,74,11
,25 do 29 let,78366,885696,3,11,93,11
,30 do 34 let,147267,1483013,4,13,129,10
,35 do 39 let,180052,1686847,4,13,136,9
,40 do 44 let,140423,1620427,3,12,108,12
,45 do 49 let,99333,1689969,4,14,81,17
,50 do 54 let,90366,2192580,5,18,73,24
,55 do 59 let,66168,1960894,6,23,77,30
,60 do 64 let,13693,475104,6,23,66,35
,65 do 69 let,839,30992,3,12,33,37
,70 in veè let,64,2673,1,4,10,42
,Neznano,-,-,-,-,-,-
2017,15 do 19 let,1476,13223,1,5,52,9
,20 do 24 let,27536,301850,2,9,80,11
,25 do 29 let,83677,895419,3,11,99,11
,30 do 34 let,155761,1506437,4,13,137,10
,35 do 39 let,193543,1767181,4,13,146,9
,40 do 44 let,156882,1711517,4,13,119,11
,45 do 49 let,109209,1810836,4,15,89,17
,50 do 54 let,98305,2341524,5,19,79,24
,55 do 59 let,75041,2303127,7,25,81,31
,60 do 64 let,17986,620923,7,25,73,35
,65 do 69 let,1304,45569,4,15,42,35
,70 in veè let,86,5068,2,7,12,59
,Neznano,-,-,-,-,-,-
2018,15 do 19 let,1783,16525,1,5,53,9
,20 do 24 let,33099,355616,3,9,84,11
,25 do 29 let,90469,983707,3,11,105,11
,30 do 34 let,168525,1616815,4,14,146,10
,35 do 39 let,202134,1896015,4,14,152,9
,40 do 44 let,167739,1860864,4,14,124,11
,45 do 49 let,115513,1962465,4,16,92,17
,50 do 54 let,103951,2555020,6,20,82,25
,55 do 59 let,83281,2612474,7,27,85,31
,60 do 64 let,21758,842089,8,29,75,39
,65 do 69 let,1639,68210,5,19,44,42
,70 in veè let,136,11130,3,13,15,82
,Neznano,-,-,-,-,-,-
2019,15 do 19 let,1944,17180,1,5,57,9
,20 do 24 let,37696,405139,3,10,92,11
,25 do 29 let,99398,1044029,3,12,113,11
,30 do 34 let,179504,1654224,4,14,155,9
,35 do 39 let,214081,1962558,4,15,162,9
,40 do 44 let,184558,2062245,4,15,133,11
,45 do 49 let,126345,2102459,5,16,98,17
,50 do 54 let,109596,2778632,6,22,86,25
,55 do 59 let,90303,3050976,8,30,88,34
,60 do 64 let,26847,1063353,9,32,81,40
,65 do 69 let,1964,92538,6,20,43,47
,70 in veè let,158,8997,2,8,14,57
,Neznano,-,-,-,-,-,-
,,,,,,,
"Povezane vsebine:
- <A class=seznam HREF=/docs/3_3f_BS_2018.pdf target=_blank>Metodološka pojasnila</A>
",,,,,,,
,,,,,,,
Zadnja posodobitev:,,,,,,,
20200930 09:00,,,,,,,
,,,,,,,
Vir podatkov:,,,,,,,
NIJZ,,,,,,,
,,,,,,,
Kontakt:,,,,,,,
"Blaženka Jeren, NIJZ",,,,,,,
+386 (01) 2441 501,,,,,,,
<a href='mailto:blazenka.jeren@nijz.si'>blazenka.jeren@nijz.si</a>,,,,,,,
,,,,,,,
Avtorske pravice,,,,,,,
,,,,,,,
Enote:,,,,,,,
Primeri,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Zbirka podatkov:,,,,,,,
"NIJZ 3 - Evidenca zaèasne odsotnosti z dela zaradi bolezni, poškodb in drugih vzrokov (BS)",,,,,,,
,,,,,,,
Kratko ime:,,,,,,,
10700007,,,,,,,
